flight_id,arrival_time,scheduled_time,actual_time,predicted_delay,final_delay,waiting_time,runway,aircraft_type,status
462,1245.9333333333334,1250.2237452252143,2241.85,2350.89892578125,59497.57528648713,59755.0,R1,a69c49,LANDED
463,711.7333333333333,715.1012300883094,2243.85,2312.335693359375,91724.92619470143,91927.0,R1,a69c49,LANDED
464,1245.1333333333334,1246.4190275341225,2245.85,2345.339599609375,59965.85834795264,60043.0,R1,a5e8eb,LANDED
465,1208.75,1209.8133563991562,2247.85,2343.479736328125,62282.19861605062,62346.0,R1,a5e8eb,LANDED
466,944.6,948.8306783547472,2249.85,2329.68115234375,78061.15929871515,78315.0,R1,a5e8eb,LANDED
467,1359.9833333333331,1363.491595574268,2251.85,2363.967041015625,53301.50426554391,53512.000000000015,R1,a710e4,LANDED
468,838.55,840.082836291495,2253.85,2325.11767578125,84826.0298225103,84918.0,R1,a726f0,LANDED
469,1287.9,1288.9234741938262,1311.4833333333331,2357.269775390625,1353.5915483704139,1414.9999999999854,R2,a72808,LANDED
470,1332.2166666666667,1334.4050344141708,2255.85,2357.7373046875,55286.69793514974,55418.0,R1,a71a86,LANDED
471,1132.6,1134.4146135146843,2257.85,2343.481201171875,67406.12318911894,67515.0,R1,a71a86,LANDED
472,1090.1666666666667,1091.375934016303,2259.85,2346.55078125,70108.44395902181,70181.0,R1,a71adb,LANDED
473,897.0,900.5292353494812,2261.85,2329.20654296875,81679.24587903114,81891.0,R1,a71adb,LANDED
474,743.9666666666667,748.4003368151045,2263.85,2311.913330078125,90926.97979109372,91193.0,R1,a71adb,LANDED
475,1173.6,1174.6938073146182,2265.85,2349.505615234375,65469.371561122905,65535.0,R1,a77c24,LANDED
476,1056.9333333333334,1058.0679903409325,2267.85,2341.330078125,72586.92057954405,72655.0,R1,a77c24,LANDED
477,891.0666666666667,894.2359298704253,2269.85,2325.435302734375,82536.84420777448,82727.0,R1,a77c24,LANDED
478,1332.5666666666666,1334.9534967843078,2271.85,2361.23876953125,56213.790192941524,56357.0,R1,a77d89,LANDED
479,1034.5166666666669,1038.4131590764562,2273.85,2336.733642578125,74126.21045541263,74359.99999999999,R1,a77d89,LANDED
480,869.8333333333334,871.3775177219603,2275.85,2327.1865234375,84268.34893668236,84361.0,R1,a77d89,LANDED
482,46.03333333333333,50.4887798624893,2277.85,151.5840606689453,133641.67320825066,133909.0,R1,a77d89,LANDED
481,676.5,680.8640795287869,2279.85,2312.935302734375,95939.15522827278,96201.0,R1,a77d89,LANDED
483,1009.05,1011.7952302240292,2281.85,2338.46728515625,76203.28618655824,76368.0,R1,a78a38,LANDED
484,1199.1333333333334,1200.6925970384848,2283.85,2348.62548828125,64989.44417769091,65083.0,R1,a78d57,LANDED
485,918.1,920.3538876088488,1313.4833333333331,2325.8095703125,23587.76674346906,23722.999999999985,R2,a78d57,LANDED
486,784.3166666666667,788.8625254774156,2285.85,2321.9775390625,89819.24847135507,90092.0,R1,a78d57,LANDED
487,32.85,34.46052053127136,2287.85,1.0120790004730225,135203.3687681237,135300.0,R1,a78d57,LANDED
488,1109.75,1112.2068011915028,2289.85,2340.335693359375,70658.59192850982,70806.0,R1,a6c596,LANDED
490,1173.4666666666667,1176.7211370843486,2291.85,2348.159912109375,66907.73177493908,67103.0,R1,a6eac6,LANDED
489,1162.85,1164.9005721315846,2293.85,2345.467529296875,67736.96567210493,67860.0,R1,a6f984,LANDED
491,805.95,809.1160593706715,1315.4833333333331,2318.453857421875,30382.0364377597,30571.999999999985,R2,a80948,LANDED
492,1035.1166666666666,1038.60816029726,2295.85,2331.7099609375,75434.5103821644,75644.0,R1,a811c0,LANDED
493,937.1,938.6734757886558,2297.85,2325.57568359375,81550.59145268066,81645.0,R1,a811c0,LANDED
494,893.05,895.1782965043667,2299.85,2327.00390625,84280.30220973799,84408.0,R1,a811c0,LANDED
495,1096.7166666666667,1100.436859268345,2301.85,2339.118408203125,72084.78844389929,72308.0,R1,a831e4,LANDED
496,968.85,971.468270226917,1317.4833333333331,2332.296875,20760.90378638497,20917.999999999985,R2,a831e4,LANDED
497,1349.4833333333331,1353.074772610626,2303.85,2357.70263671875,57046.51364336243,57262.000000000015,R1,a83b86,LANDED
498,100.9,105.5179476993128,2305.85,667.8792724609375,132019.92313804122,132297.0,R1,a83b86,LANDED
499,1349.05,1350.1041910749789,2307.85,2367.071533203125,57464.74853550126,57528.0,R1,a83d40,LANDED
500,1255.5166666666669,1260.392239294097,2309.85,2351.368408203125,62967.465642354175,63259.999999999985,R1,a83d40,LANDED
501,1415.75,1420.6636732108948,2311.85,2363.595458984375,53471.179607346305,53766.0,R1,a8522b,LANDED
502,1184.0666666666666,1187.5667029019169,2313.85,2353.016845703125,67576.99782588499,67787.0,R1,a8522b,LANDED
503,964.85,968.9134642395244,2315.85,2324.827392578125,80816.19214562853,81060.0,R1,a8522b,LANDED
504,284.9833333333333,288.5058316263808,2317.85,2286.39697265625,121760.65010241714,121972.0,R1,a8522b,LANDED
505,1375.8833333333334,1377.537428306617,2319.85,2365.12890625,56538.75430160298,56638.0,R1,a84a77,LANDED
506,1304.05,1307.0101080309616,2321.85,2348.135986328125,60890.39351814229,61068.0,R1,a84a77,LANDED
507,915.2833333333332,916.8660176194604,2323.85,2328.400146484375,84419.03894283238,84514.0,R1,a85d20,LANDED
508,1413.4166666666667,1416.4057833572504,2325.85,2357.592041015625,54566.652998564976,54746.0,R1,a86c99,LANDED
509,177.73333333333332,181.66151300931423,2327.85,1371.2576904296875,128771.30921944114,129007.0,R1,a7d3fe,LANDED
510,831.2166666666667,833.6247733913307,1319.4833333333331,2318.537353515625,29151.513596520148,29295.999999999985,R2,a7ca2b,LANDED
511,15.983333333333333,19.242571836779064,2329.85,1.6314475536346436,138636.44568979327,138832.0,R1,a7ca2b,LANDED
512,1407.05,1410.0707485991818,2331.85,2360.41162109375,55306.75508404909,55488.0,R1,a7e894,LANDED
513,1299.7666666666669,1301.9066926802527,2333.85,2348.135986328125,61916.59843918483,62044.999999999985,R1,a7e894,LANDED
514,949.9833333333332,951.2715884271356,2335.85,2324.497314453125,83074.70469437186,83152.0,R1,a9126a,LANDED
515,1223.3666666666666,1226.9585191919984,2337.85,2352.91552734375,66653.48884848009,66869.0,R1,a965d1,LANDED
516,809.8833333333333,813.7079636208553,2339.85,2316.732421875,91568.52218274868,91798.0,R1,a971a3,LANDED
517,770.75,774.8138744627645,2341.85,2314.85400390625,94022.16753223413,94266.0,R1,a971a3,LANDED
518,1394.5666666666666,1398.4517168417835,2343.85,2357.23095703125,56723.89698949298,56957.0,R1,a971e7,LANDED
519,1204.9833333333331,1209.6422354914437,2345.85,2344.498291015625,68172.46587051338,68452.00000000001,R1,a971e7,LANDED
520,1033.05,1034.34877653101,2347.85,2337.83837890625,78810.0734081394,78888.0,R1,a982d6,LANDED
521,1322.3833333333334,1323.7296652209566,2349.85,2361.23876953125,61567.2200867426,61648.0,R1,a9978f,LANDED
522,960.3666666666668,962.3131319318738,2351.85,2329.3623046875,83372.21208408756,83489.0,R1,a99dbc,LANDED
523,895.1833333333333,896.9927750337172,2353.85,2325.7138671875,87411.43349797696,87520.0,R1,a99ffe,LANDED
524,1368.9166666666667,1370.91480574949,2355.85,2368.7744140625,59096.1116550306,59216.0,R1,a8b2fc,LANDED
525,1235.4333333333334,1236.859312261375,1321.4833333333331,2352.569580078125,5077.44126431749,5162.999999999985,R2,a8abe1,LANDED
526,1149.0,1152.2564771752595,2357.85,2341.68896484375,72335.61136948442,72531.0,R1,a8abe1,LANDED
527,934.45,938.3868050446458,2359.85,2329.85986328125,85287.79169732124,85524.0,R1,a8abe1,LANDED
528,23.5,26.380882268838235,2361.85,0.8216714262962341,140128.1470638697,140301.0,R1,a8abe1,LANDED
